Año,Trimestre,Provincia,Usuarios totales,Accesos por cada 100 hogares,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps
2022,3,Provincia de Buenos Aires,4721668,78.11,4715469,6199,339648,2748325,1436433,126846,70,29985,27709,290315,297915,267044,12419,3618689
2022,3,Capital Federal,1547679,122.28,1545534,2145,140791,1240125,129218,5758,101,5170,5742,34371,67829,51946,28692,1253105
2022,3,Catamarca,70293,65.33,70292,1,10010,10495,46224,1329,61,710,3840,3107,5389,5099,3737,50298
2022,3,Chaco,144146,43.86,144141,5,27164,61800,44645,8178,53,4610,9870,16782,18938,8049,15828,79390
2022,3,Chubut,165778,84.38,164874,904,45377,72212,9574,29784,16,1090,1444,45707,3094,34682,15309,17563
2022,3,Córdoba,1038668,88.31,1038600,68,163770,465461,338570,6107,56,990,11312,153324,111615,70989,27112,650344
2022,3,Corrientes,144846,48.21,144842,4,36508,77140,18619,7256,45,670,3865,23427,23948,7776,21706,56950
2022,3,Entre Ríos,268959,63.67,268937,22,60345,132952,36971,26098,42,1070,5549,47210,46855,18263,32021,102195
2022,3,Formosa,68538,43.76,68537,1,14470,25880,11041,16935,30,970,3070,23538,19545,6194,5640,17704
2022,3,Jujuy,118823,58.91,118823,0,19257,52978,40172,4033,32,580,1879,19135,15254,36083,5190,45895
2022,3,La Pampa,116092,96.59,115921,171,7796,60078,23551,20216,18,680,1887,61540,9653,11592,5609,22731
2022,3,La Rioja,86864,80.66,86860,4,6842,53899,19697,6395,44,180,6890,2842,3375,24219,5331,50390
2022,3,Mendoza,289523,51.03,288746,777,37659,78858,142615,27625,34,1030,2953,44232,21977,48201,17243,150043
2022,3,Misiones,182157,51.82,182157,0,35513,88902,39046,11074,49,510,3749,36628,20758,12676,19615,80330
2022,3,Neuquén,163161,80.37,162693,468,29352,75815,29396,27482,48,1340,9910,38485,1408,92,67,78713
2022,3,Río Negro,160558,67.98,160010,548,35552,48260,41017,1676,34,1110,1221,32936,1786,27934,13629,42596
2022,3,Salta,204541,57.76,204536,5,40006,96984,50254,10082,41,1140,149,32923,71199,5662,1001,85661
2022,3,San Juan,103399,50.8,103118,281,38570,22723,12328,2186,16,240,2027,30324,11247,22157,678,19221
2022,3,San Luis,122070,81.74,121888,182,6860,29363,248,70614,19,600,3070,6563,20813,12061,67438,13
2022,3,Santa Cruz,49510,43.19,49312,198,10170,24047,10815,3896,13,520,6841,12342,11313,11378,2333,4604
2022,3,Santa Fe,887810,78.55,887700,110,183740,426255,215189,43079,45,4680,11132,132709,198588,70897,57455,396352
